['127.0.0.1:3000']
# Stats from 127.0.0.1:3000
# [n], [mean], [std.], [min], [max]
1, 33.508, 56.867, 3.975, 869.922
2, 73.62, 119.959, 3.666, 975.685
3, 97.444, 134.295, 3.896, 974.249
4, 114.039, 138.125, 4.222, 995.88
5, 117.575, 134.533, 3.847, 898.869
6, 125.477, 146.071, 3.627, 992.768
7, 133.91, 119.176, 4.496, 916.841
8, 137.583, 106.132, 5.174, 795.027
9, 116.868, 91.269, 4.04, 992.656
10, 129.073, 89.284, 3.784, 682.78
11, 144.038, 106.66, 4.32, 978.167
12, 141.197, 86.099, 4.38, 603.423
13, 179.213, 137.864, 4.57, 776.835
14, 164.661, 91.22, 4.066, 679.097
15, 173.306, 112.512, 3.703, 814.363
16, 170.567, 82.78, 4.956, 608.388
17, 177.038, 116.087, 4.017, 710.735
18, 210.326, 163.749, 3.64, 849.84
19, 207.21, 133.285, 4.096, 925.411
20, 220.84, 137.473, 4.206, 887.895
