['127.0.0.1:3000']
# Stats from 127.0.0.1:3000
# [n], [mean], [std.], [min], [max]
1, 84.264, 68.149, 4.718, 887.172
2, 158.691, 91.422, 4.657, 694.938
3, 198.674, 106.183, 5.719, 902.49
4, 225.119, 90.713, 14.193, 787.784
5, 219.768, 99.413, 5.963, 705.058
6, 245.108, 123.247, 9.117, 907.087
7, 270.842, 124.688, 12.644, 718.122
8, 322.753, 131.982, 6.73, 690.688
9, 286.888, 140.734, 25.923, 698.692
10, 383.607, 151.923, 12.887, 904.479
11, 404.648, 147.953, 71.486, 803.656
12, 451.718, 193.248, 8.37, 999.897
13, 492.38, 199.999, 76.317, 996.531
14, 575.116, 200.675, 87.356, 999.979
15, 601.723, 211.332, 5.075, 999.58
16, 578.612, 208.512, 5.91, 999.942
17, 611.289, 196.009, 17.805, 999.396
18, 622.336, 207.968, 6.697, 999.887
19, 677.908, 207.31, 6.963, 999.973
20, 664.093, 208.888, 13.2, 999.902
